"","X1","X2","value","SigStar"
"211","11","X37",-1.8017339889804,NA
"212","22","X37",-3.42701989884548,NA
"213","26","X37",-2.75281274734891,NA
"214","35","X37",-0.684811144998392,NA
"215","36","X37",-11.2543292768129,"*"
"216","37","X37",NA,NA
"217","40","X37",-6.02350745450486,"*"
"218","42","X37",-0.865467559031996,NA
"219","3","X37",-1.72976326226593,NA
"220","14","X37",-2.2162235219492,NA
"221","15","X37",-1.68456510642296,NA
"222","18","X37",1.20654219028268,NA
"223","23","X37",-2.86188641621398,NA
"224","27","X37",-2.39541181636271,NA
"225","34","X37",-1.41441318243804,NA
"226","38","X37",-3.17603376013985,NA
"227","41","X37",-2.92292903569556,NA
"228","1","X37",-6.64105761641182,"*"
"229","12","X37",-0.441464123049742,NA
"230","28","X37",-0.556452048332362,NA
"231","29","X37",-0.889214282744077,NA
"232","30","X37",0.750606441328775,NA
"233","31","X37",-4.2240736656306,NA
"234","32","X37",-1.41081864679727,NA
"235","39","X37",-13.1600671886741,"*"
"236","2","X37",-3.90857129649983,NA
"237","6","X37",-3.28429633639529,NA
"238","8","X37",-5.03128267795028,"*"
"239","13","X37",-5.86160561146236,"*"
"240","4","X37",-2.66247318085395,NA
"241","5","X37",-4.73092159920571,NA
"242","17","X37",-5.27254394484976,"*"
"243","7","X37",-4.50352106865157,NA
"244","9","X37",0.144758941317886,NA
"245","10","X37",-0.151528063122629,NA
"246","16","X37",-4.13352502706731,NA
"247","19","X37",-4.4711552707874,NA
"248","20","X37",-0.195046009525008,NA
"249","21","X37",-9.33707216891129,"*"
"250","24","X37",-3.45516472564972,NA
"251","25","X37",-2.54874269315409,NA
"252","33","X37",-5.35666694108641,"*"
"253","11","X40",-4.29756349596928,NA
"254","22","X40",-3.21344925340621,NA
"255","26","X40",-3.2504104680179,NA
"256","35","X40",-1.16130836971,NA
"257","36","X40",0.521229408303173,NA
"258","37","X40",-6.02350745450486,"*"
"259","40","X40",NA,NA
"260","42","X40",0.799236187220987,NA
"261","3","X40",0.694244773420258,NA
"262","14","X40",-0.169134360732429,NA
"263","15","X40",1.8391752409017,NA
"264","18","X40",-1.9569995862224,NA
"265","23","X40",-2.12877944025167,NA
"266","27","X40",0.965486302726443,NA
"267","34","X40",1.702923522772,NA
"268","38","X40",1.13533783826382,NA
"269","41","X40",5.86831662692816,"*"
"270","1","X40",-0.986317960072647,NA
"271","12","X40",-0.870703633419603,NA
"272","28","X40",-0.460702541863256,NA
"273","29","X40",0.28334542315792,NA
"274","30","X40",0.23407970656974,NA
"275","31","X40",-3.67439034879246,NA
"276","32","X40",0.742862638539583,NA
"277","39","X40",-4.30093957349611,NA
"278","2","X40",-2.26547688818479,NA
"279","6","X40",-1.98392749963209,NA
"280","8","X40",-1.58842612406791,NA
"281","13","X40",-1.96587001456023,NA
"282","4","X40",-7.13399459940126,"*"
"283","5","X40",0.0469866686924053,NA
"284","17","X40",-1.07287425852996,NA
"285","7","X40",-2.13554583655789,NA
"286","9","X40",-2.53615173120367,NA
"287","10","X40",-7.59150721937838,"*"
"288","16","X40",-5.35671309335623,"*"
"289","19","X40",-2.00968420145415,NA
"290","20","X40",-2.16320704713175,NA
"291","21","X40",-1.99488159932287,NA
"292","24","X40",-4.4663966031806,NA
"293","25","X40",-9.27788517443844,"*"
"294","33","X40",-6.45316004516575,"*"
"295","11","X42",-5.02001135593336,"*"
"296","22","X42",-1.01123537478011,NA
"297","26","X42",-0.496876902106426,NA
"298","35","X42",-1.452968364058,NA
"299","36","X42",0.889367975709361,NA
"300","37","X42",-0.865467559031996,NA
"301","40","X42",0.799236187220987,NA
"302","42","X42",NA,NA
"303","3","X42",0.136195769728938,NA
"304","14","X42",1.65930722149276,NA
"305","15","X42",1.24867943146924,NA
"306","18","X42",-3.67634871172999,NA
"307","23","X42",0.188475684151116,NA
"308","27","X42",0.00828450585679506,NA
"309","34","X42",2.74883407493293,NA
"310","38","X42",0.553965041750957,NA
"311","41","X42",4.67183193658412,NA
"312","1","X42",-0.90471245103812,NA
"313","12","X42",-0.501002541319332,NA
"314","28","X42",-3.26151452891038,NA
"315","29","X42",-0.0298907975047339,NA
"316","30","X42",0.203977586401055,NA
"317","31","X42",0.140885191456598,NA
"318","32","X42",-0.497446557577459,NA
"319","39","X42",-3.54726212503603,NA
"320","2","X42",-0.170974056466677,NA
"321","6","X42",0.776713148921328,NA
"322","8","X42",0.336620628944815,NA
"323","13","X42",0.352462143142967,NA
"324","4","X42",-2.80018183439567,NA
"325","5","X42",-0.0564171861170193,NA
"326","17","X42",-0.969775745619195,NA
"327","7","X42",-1.70159290387304,NA
"328","9","X42",-0.629126960093813,NA
"329","10","X42",-2.70257954733855,NA
"330","16","X42",-1.48228163707917,NA
"331","19","X42",-0.521389896544539,NA
"332","20","X42",-1.54553530555865,NA
"333","21","X42",-3.32889987498869,NA
"334","24","X42",-2.32420910616413,NA
"335","25","X42",-5.09119097435568,"*"
"336","33","X42",-2.78388491644208,NA
"337","11","X3",-0.173050191033093,NA
"338","22","X3",-0.200099245770355,NA
"339","26","X3",-0.956997248132889,NA
"340","35","X3",0.249513063462629,NA
"341","36","X3",-0.15154316085213,NA
"342","37","X3",-1.72976326226593,NA
"343","40","X3",0.694244773420258,NA
"344","42","X3",0.136195769728938,NA
"345","3","X3",NA,NA
"346","14","X3",-0.626580662934426,NA
"347","15","X3",5.73199411073874,"*"
"348","18","X3",-0.0626854145077742,NA
"349","23","X3",-3.34279164346182,NA
"350","27","X3",2.10591511041937,NA
"351","34","X3",-1.07309686309027,NA
"352","38","X3",0.522566370372525,NA
"353","41","X3",-0.189636840277908,NA
"354","1","X3",-1.38615882507663,NA
"355","12","X3",-0.821816099972101,NA
"356","28","X3",-0.0353125858326809,NA
"357","29","X3",0.150598111988704,NA
"358","30","X3",-1.09721670042413,NA
"359","31","X3",-1.57255529666871,NA
"360","32","X3",-1.90116465041331,NA
"361","39","X3",-1.83496599018312,NA
"362","2","X3",-1.18259880699519,NA
"363","6","X3",-0.833168190739019,NA
"364","8","X3",-1.25451761563676,NA
"365","13","X3",-1.72165848217734,NA
"366","4","X3",0.438157347587779,NA
"367","5","X3",0.153977987141809,NA
"368","17","X3",-0.0482533983663995,NA
"369","7","X3",-1.12305721289497,NA
"370","9","X3",0.258670877156133,NA
"371","10","X3",-2.84348271609384,NA
"372","16","X3",-0.0828948672089371,NA
"373","19","X3",-1.12256565912436,NA
"374","20","X3",-0.560713747473532,NA
"375","21","X3",0.0603395190270769,NA
